words	cates	weights	nums
示范场	n	1	1.6
糖料	n	1	1.6
突破点	n	2	3.2
变化多端	vl	1	1.6
股骨头	n	7	10.31
教案	n	4	6.4
快讯	n	5	8
圈套	n	18	20.57
工程部	n	1	1.6
预装	v	1	1.6
表里	n	1	1.6
鼓乐	n	2	3.2
心仪	v	18	19.86
望去	v	10	16
立定	v	9	6.08
圈点	vi	4	4.8
星河	n	2	3.2
幽谷	n	1	1.6
刀耕火种	vl	3	5.11
安眠药	n	7	9.94
工段	n	2	3.2
新民	nz	61	42.89
防冻	vn	5	6.95
鄂伦春族	nz	1	1.6
有惊无险	vl	4	8.06
全城	n	9	8.16
配乐	vn	1	1.6
羊群	n	12	13.03
放羊	vi	8	10.15
谈道	v	5	6.4
姐夫	n	7	11.2
宣传牌	n	3	4.8
妇委会	n	1	1.6
国境	n	4	6.71
队里	n	4	6.4
大伯	n	30	29.61
万人空巷	vl	2	3.2
女杰	n	1	1.6
乘风破浪	vl	3	5.6
拉拉	v	5	6.95
熟透	vi	3	4.8
统领	v	6	8
迫不得已	vl	3	4.8
一纸空文	nl	18	22.25
金光	n	2	3.2
扇面	n	7	8.81
供给量	n	4	6.4
钻进	v	7	11.36
茶碗	n	1	1.6
引以为荣	vl	1	1.6
城建局	n	1	1.6
除却	v	1	1.6
主题曲	n	4	5.35
局内	n	1	1.6
保险箱	n	5	9.11
移师	v	1	1.6
百感交集	vl	3	4.8
过上	v	1	1.6
气喘	n	7	9.1
坑道	n	2	3.2
起价	n	1	1.6
纹路	n	4	6.4
烟盒	n	3	4.8
共管	v	7	9.6
植物人	n	4	5.02
持家	vi	3	4.8
合作方	n	2	3.2
稳中有进	vl	4	4.8
春耕大忙	vl	1	1.6
对开	vi	1	1.6
心功能	n	1	1.6
气管炎	n	1	1.6
残存	v	26	11.51
无奇不有	vl	2	3.2
无所不能	vl	1	1.6
痛斥	v	2	3.2
马蜂窝	n	6	9.76
脑神经	n	2	3.2
下坡	vi	7	9.19
箩筐	n	2	3.2
工薪	n	2	3.2
高利	n	6	4.8
左图	n	11	7.51
联组	vn	6	7.16
准确度	n	3	4.8
念念	v	3	4.8
人才观	n	1	1.6
话锋	n	1	1.6
动物群	n	7	6.93
日用百货	n	2	3.2
减震器	n	4	7.2
磕碰	vi	1	1.6
不详	vi	7	9.66
便饭	n	1	1.6
民间艺术团	n	2	3.2
鼓点	n	4	4.8
赶场	vn	3	3.2
马头琴	n	3	3.2
泪眼	n	3	5.11
祈愿	v	6	8.55
惜别	vi	2	3.2
飞腾	vi	1	1.6
鹊桥	n	1	1.6
关隘	n	1	1.6
古松	n	1	1.6
吭声	vi	4	6.4
发福	n	3	4.8
唢呐	n	3	3.75
叫好声	n	2	3.2
太阳神	nz	1	1.6
团费	n	4	4.8
婚俗	n	1	1.6
眼花	vi	1	1.6
试验台	n	1	1.6
失眠症	n	1	1.6
一般而言	vl	8	9.6
转行	v	9	15.02
生火	vi	2	3.2
合并症	n	1	1.6
表妹	n	1	1.6
保底	vd	7	8
跃起	v	2	3.2
累及	v	1	1.6
回城	vi	2	3.2
多云间阴	nl	1	1.6
艺品	n	2	3.2
外勤	n	5	9.18
区情	n	1	1.6
大小便	v	20	23.41
拼接	vn	16	24.57
熄灯	vi	10	13.45
海螺	n	2	3.2
海神	n	3	3.75
耗材	n	4	4.8
扬鞭	v	2	3.2
文化街	n	2	3.2
厚薄	n	6	9.91
为先	v	2	3.2
换成	v	4	6.4
种牛	n	1	1.6
炸雷	n	3	4.8
真名	n	2	3.2
意会	vi	2	3.2
纹丝不动	vl	3	4.8
桫椤	n	1	1.6
自问	vi	2	3.2
年长者	n	1	1.6
熟谙	v	1	1.6
字头	n	1	1.6
转道	v	1	1.6
决心书	n	1	1.6
上升期	n	2	3.2
输送机	n	1	1.6
揽客	vi	13	18.19
富含	v	6	9.6
副总	n	4	4.8
漂浮物	n	4	6.71
假证	n	23	29.65
屡教不改	vl	6	10.19
不法之徒	n	4	6.4
游艺室	n	1	1.6
疏运	v	2	3.2
查查	v	11	16.31
双翼	n	1	1.6
菠萝	n	5	8
营养师	n	4	6.4
连轴转	vi	5	8.8
赴约	vi	1	1.6
织品	n	3	3.2
酬劳	n	8	11.2
马脚	n	4	6.4
引燃	v	12	14.92
辞掉	v	2	3.2
寒来暑往	vl	3	4.03
航路	n	2	3.2
交接班	n	1	1.6
代理费	n	8	13.11
证据法	n	1	1.6
幕墙	n	2	3.2
治疗仪	n	2	3.2
凉鞋	n	1	1.6
挂号信	n	1	1.6
坑底	n	5	5.68
摇滚乐	n	1	1.6
影音	n	8	12.8
赶考	vi	5	6.11
传扬	v	3	4.8
仓廪	n	2	1.6
蜜糖	n	1	1.6
山风	n	4	4.8
通天	vi	3	4.8
不外	v	1	1.6
抽泣	vi	2	3.2
心灰意冷	vl	5	8
重地	n	2	3.2
生威	n	1	1.6
货值	n	11	13.87
损失费	n	2	3.2
成亲	vi	1	1.6
标段	n	21	16.86
大枣	n	2	3.2
形迹	n	6	9.91
缓冲区	n	9	14.71
手柄	n	3	5.11
心气	n	2	3.2
一去不返	vl	3	4.8
音乐室	n	1	1.6
满天星	n	2	3.2
磨合期	n	4	5.63
卫校	n	2	3.2
风云突变	vl	1	1.6
刺激性	n	3	4.8
倾盆大雨	nl	1	1.6
急流	n	2	3.2
失禁	vi	11	10.42
疏忽大意	vl	7	10.46
毛头	n	3	3.2
美编	n	1	1.6
生趣	n	3	4.8
变戏法	vn	2	3.2
申请者	n	10	16.62
倒不如	v	3	3.2
气泡	n	3	4.8
天马	nz	1	1.6
苜蓿	n	6	6.4
修修补补	v	2	3.2
把儿	n	3	5.39
采矿点	n	1	1.6
慢慢来	vl	4	6.4
芭蕉	n	1	1.6
温情脉脉	vl	1	1.6
桂圆	n	1	1.6
牢笼	n	1	1.6
戍守	v	2	3.2
食欲不振	vl	2	3.2
大安	n	1	1.6
维修费	n	4	6.4
大褂	n	3	3.2
块儿	n	1	1.6
心腹之患	nl	1	1.6
归档	vn	6	9.91
说唱	n	5	8.31
核工程	n	1	1.6
议价	n	18	20.6
婴儿车	n	4	5.35
定向招生	vl	1	1.6
免责	vn	19	24.28
热电	n	2	3.2
下摆	v	1	1.6
题海战术	n	2	3.2
接洽	v	4	6.71
粮票	n	1	1.6
情分	n	2	3.2
于心不忍	vl	1	1.6
农办	n	3	4.8
肉品	n	2	3.2
果茶	n	1	1.6
一年之计在于春	nl	3	4.8
动脉硬化	nl	2	3.2
包装箱	n	4	6.71
保险费率	n	7	10.15
影业	n	18	10.7
回函	v	2	1.6
面罩	n	14	12.79
裂口	n	1	1.6
洗染	vn	1	1.6
渗水	vi	1	1.6
仪表盘	n	2	3.2
笋壳	n	1	1.6
茅坑	n	1	1.6
惊羡	v	1	1.6
成全	v	3	4.8
宗亲	n	6	5.35
旌旗	n	1	1.6
按住	v	1	1.6
呢子	n	2	1.6
峰峰	n	3	5.11
云游	v	1	1.6
撷取	v	1	1.6
家丑	n	1	1.6
斥责	v	2	3.2
对歌	vi	1	1.6
组曲	n	1	1.6
草鞋	n	1	1.6
蓑衣	n	3	4.8
平移	vn	2	3.2
瓷碗	n	8	11.15
酒坛	n	1	1.6
老酒	n	2	3.2
节律	n	11	13.51
葵花	n	1	1.6
掌舵	vi	2	3.2
驱寒	vi	2	3.2
大市	n	1	1.6
想不开	vl	4	6.71
内裤	n	1	1.6
中空	v	3	2.65
化脓	vi	2	3.2
老相识	n	1	1.6
小队	n	5	8.31
照拂	v	4	6.4
鱼群	n	3	5.11
声纳	n	1	1.6
巡护	vn	33	46.62
床板	n	2	3.2
拱门	n	3	4.8
锣鼓队	n	2	3.2
设计图	n	4	4.8
荷叶	n	4	6.71
抚平	v	3	4.8
售票机	n	3	4.8
管窥	vi	1	1.6
没空	vi	4	6.4
打杂	vi	6	9.91
生就	v	6	7.28
猪苗	n	1	1.6
秘闻	n	1	1.6
病假	n	7	9.76
名号	n	13	15.77
单位名	n	1	1.6
橡皮泥	n	4	6.4
星子	n	3	4.8
随访	v	10	10.67
浓妆艳抹	vl	1	1.6
羔子	n	1	1.6
万福	nz	4	6.71
不可言传	vl	2	3.2
规划署	n	6	7.28
闲言碎语	nl	1	1.6
电锯	n	2	3.2
夜游	v	3	5.39
佛事	n	6	8.34
晨钟	n	3	4.03
豆腐脑	nms	1	1.6
夜场	n	1	1.6
被单	n	2	3.2
三板	n	9	11.14
铺床	vi	2	3.2
正身	n	4	5.35
上供	v	1	1.6
语词	n	7	8.55
切中肯綮	nl	1	1.6
拆封	vi	3	4.8
转盘	n	1	1.6
报名表	n	3	4.8
宣传册	n	13	17.31
定向培养	vl	11	11.73
画架	n	1	1.6
签字笔	n	1	1.6
同道	n	5	5.68
团圆年	n	1	1.6
端平	v	2	3.2
打劫	v	1	1.6
百家饭	n	2	4
内应	n	3	3.2
投入品	n	3	4.8
压缩性	n	1	1.6
褥疮	n	6	9.42
老婆婆	n	3	4.8
乱动	vi	8	11.42
把头	n	1	1.6
清仓	vi	1	1.6
过犹不及	vl	3	4.8
包产	vn	1	1.6
减低	v	1	1.6
果胶	n	1	1.6
家室	n	1	1.6
防尘	vn	6	9.91
真身	n	2	3.2
缝衣针	n	1	1.6
房地	n	4	4.08
诱导性	n	1	1.6
脱胶	vn	1	1.6
糍粑	n	1	1.6
可逆性	n	3	4.8
纳福	vi	2	3.2
古寺	n	6	3.2
号子	n	5	7.51
一唱一和	vl	2	1.6
马扎	n	1	1.6
失和	vi	1	1.6
静音	vn	2	3.2
蚌壳	n	1	1.6
施工期	n	2	3.2
怒气冲冲	vl	1	1.6
家宴	n	3	5.11
招引	v	3	4.8
会友	v	1	1.6
凤冠	n	1	1.6
嘟囔	v	2	3.2
酒曲	n	1	1.6
小米粥	n	1	1.6
聚积	v	1	1.6
小工	n	1	1.6
撒种	vi	1	1.6
美术室	n	1	1.6
桔梗	n	1	1.6
报幕	vi	1	1.6
激将法	n	2	3.2
破镜重圆	vl	1	1.6
萤火虫	n	3	3.2
育肥	vi	3	4.8
起泡	vi	1	1.6
唾液	n	15	20.74
成虫	v	4	6.4
变速器	n	1	1.6
防晒霜	n	1	1.6
违禁物品	nl	5	8
垂涎	v	1	1.6
对称性	n	1	1.6
磨刀	vi	5	7.26
电吹风	n	11	9.67
就寝	vi	2	3.2
遮光	vi	1	1.6
公益金	n	3	4.8
花脸	n	1	1.6
寿衣	n	2	3.2
阅兵	vn	5	8.31
开讲	vi	16	13.41
gorgon	n	1	1.6
胖小子	n	2	3.2
华都	nz	2	3.2
菜薹	n	2	3.2
油麦	n	2	3.2
糖化	v	3	3.2
避风	v	2	3.2
文法学	n	1	1.6
漆工	n	3	3.75
焊点	n	1	1.6
闭环	n	21	30.93
源代码	n	1	1.6
侵权人	n	3	4.8
坐位	n	5	4.8
小便	v	4	6.4
禅师	n	1	1.6
小叶杨	n	1	1.6
炸裂	v	1	1.6
报应	n	1	1.6
重刑	n	7	10.19
氨基	n	6	8.34
酸牛奶	n	1	1.6
老爷车	n	5	6.95
红人	n	1	1.6
道观	n	3	3.2
荸荠	n	1	1.6
初诊	v	4	5.39
刀口	n	2	3.2
垫被	n	1	1.6
卡尺	n	1	1.6
角铁	n	1	1.6
航空学	n	5	6.4
通用机	n	2	3.2
久等	v	2	3.2
水葫芦	n	3	5.11
立方体	n	1	1.6
转角	n	2	3.2
文档	n	5	6.99
长石	n	4	6.71
锡林浩特	n	1	1.6
抽头	v	5	8.8
呼叫器	n	1	1.6
呼吸器官	n	1	1.6
一场空	n	1	1.6
繁殖率	n	1	1.6
球菌	n	1	1.6
实线	n	1	1.6
酒具	n	1	1.6
静物画	n	1	1.6
怪象	n	3	5.11
冰棒	n	1	1.6
柠檬茶	n	1	1.6
雾化器	n	1	1.6
帕特里克	nz	1	1.6
撞见	v	4	6.4
丈母	n	1	1.6
纯毛	n	1	1.6
杀生	v	4	4.8
出列	v	4	6.4
擦澡	v	1	1.6
躁狂症	n	2	3.2
帐子	n	1	1.6
小姑子	n	1	1.6
手钳	n	1	1.6
畜生	n	1	1.6
下跪	v	3	4.8
喷枪	n	1	1.6
烧肉	n	1	1.6
数据流	n	1	1.6
想像	v	3	4.8
楠楠	nr2	3	5.6
诓骗	v	1	1.6
退押	v	5	5.31
錾子	n	2	3.2
好气	n	2	3.2
清漆	n	1	1.6
育英	nz	2	3.2
操作台	n	7	8.48
合叶	n	1	1.6
机时	n	2	3.2
锅巴	n	1	1.6
瓦块	n	1	1.6
外耳道	n	3	4.8
排烟	v	3	4.8
贺喜	v	2	1.6
挖土机	n	1	1.6
鼓励性	n	2	3.2
朝政	n	1	1.6
田鸡	n	6	4.27
混交林	n	4	6.56
祭台	n	1	1.6
能级	n	3	4.8
肯特	n	2	3.2
行经	v	5	6.99
解约	v	4	6.4
水化	v	1	1.6
私信	n	5	8
洗胃	v	2	3.2
拓跋	nr1	1	1.6
吐谷浑	n	1	1.6
催眠	v	2	3.2
午睡	v	5	8
安眠	v	6	9.35
蛋白尿	n	1	1.6
熟客	n	2	3.2
寻死	v	2	3.2
娇宠	v	1	1.6
品貌	n	1	1.6
镇纸	n	1	1.6
西峰	n	2	3.2
礼品店	n	1	1.6
逆温层	n	1	1.6
口风	n	1	1.6
病案	n	5	8.31
高压电	n	8	12.96
养伤	v	1	1.6
火山岛	n	1	1.6
大虾	n	1	1.6
蚜虫	n	1	1.6
斜纹	n	1	1.6
夜蛾	n	2	3.2
中粮	nz	4	5.02
故技	n	3	4.8
阵雪	n	3	4.8
永中	nz	1	1.6
刺绣工	n	1	1.6
家燕	n	1	1.6
挪开	v	4	6.71
猪蹄	n	3	3.75
宽窄	n	5	6.95
装载量	n	1	1.6
信号机	n	1	1.6
窗纸	n	1	1.6
供品	n	2	3.2
徐海	n	1	1.6
干爸	n	2	3.2
分馏塔	n	1	1.6
警界	n	4	6.15
包车	v	8	13.11
宝山	ns	10	6.35
雷锋	nr	70	1.6
褚	nr1	21	1.59
畅	a	20	3.75
惟一	b	4	1.54
朝	v	6	1.53
祖	ng	31	7.5
23日	t	374	52.08
时时	d	5	2.92
总算	d	13	7.35
26	m	169	60.42
5G	n	299	89.8
9%	m	22	10.55
99	m	22	10.19
无论如何	dl	11	6.53
68	m	31	18.86
高等	b	10	3.71
巨额	b	72	24.81
216	m	4	1.46
ofo	n	21	11.02
全心全意	dl	2	1.4
势必	d	6	4.2
想方设法	dl	11	6.66
终究	d	19	12.44
赶快	d	4	2.8
小心翼翼	dl	21	10.83
恰巧	d	9	6.18
彻夜	d	9	4.76
草草	d	2	1.4
贸然	d	8	5.6
96	m	13	6.42
43	m	35	13.82
72	m	66	28.21
5A	n	6	2.98
49	m	34	18.97
53	m	54	23.89
61	m	7	4.78
35	m	141	60
62	m	25	12.65
71	m	22	14.24
福州	ns	92	7.57
实惠	an	6	3.25
久而久之	dl	7	4.17
丧	vg	26	6.64
张军	nr	11	1.35
圆圆	a	22	3.16
越是	d	6	4.09
212	m	11	7.77
203	m	10	4.4
441	m	2	1.29
陈臻骅	nr	16	2.76
饲	vg	7	2.55
30日	t	295	50.21
aI	a	69	9.12
0-6	m	7	2.9
淤	ng	3	1.26
姜	n	24	9.56
董	nr1	55	11.15
删	v	10	5.25
赖	v	40	6.07
祈	vg	2	1.26
叉	n	2	1.26
禅	nr1	4	2.52
滋	vg	6	3.69
陵	ng	21	7.39
盈盈	z	5	1.23
朱政	nr	11	1.23
难办	a	2	1.22
清朗	a	4	2.97
馏	v	5	1.21
精雕细琢	al	1	1.2
痴情	a	1	1.2
俨然	z	11	5.17
污	ag	38	3.86
墨	n	6	3.6
目	ng	30	10.43
娘	n	22	8.44
递	v	76	24.42
钉	v	8	4.86
腕	ng	8	2.82
臻	vg	2	1.17
途	ng	17	6.39
渗	v	7	3.99
焦	ng	2	1.17
凝	vg	11	5.31
裤	ng	6	3.51
柑	ng	2	1.17
纬	ng	6	2.88
骅	n	2	1.17
浩浩荡荡	z	3	1.16
2011年	t	83	13.71
循	vg	20	9.99
典	ng	6	2.4
睛	ng	7	3.48
心头	s	8	3.68
保洁	b	87	22.5
百倍	mq	3	1.14
九旬	m	7	3.24
百分之	m	10	4.27
万能	b	5	2.28
狮	ng	10	3.27
4S	n	56	6.29
曾莉	nr	14	1.11
上万	m	65	18.36
氨	n	43	8.9
2002年	t	27	9.41
檀	ng	8	1.09
63	m	17	9.32
响亮	a	2	1.08
低廉	a	6	3.06
逼真	a	4	2.83
得体	a	4	2.16
cOCO	a	2	1.08
神乎其神	al	2	1.08
易行	a	4	2.16
夜	tg	56	5.45
昌	ag	12	1.06
冯日初	nr	13	1.06
一时	m	6	2.92
双向	b	42	21.88
二期	b	32	11.09
边疆	s	14	4.37
长途	b	20	7.2
劣质	b	17	6.68
中层	f	6	2.59
长长的	z	6	3.15
特级	b	5	2.54
加倍	b	8	3.85
岛内	s	2	1.05
硬性	b	7	3.94
公办	b	52	14.43
候补	b	2	1.05
沉寂	z	4	2.1
此处	s	13	6.51
左边	f	16	5.5
分内	b	2	1.05
首屈一指	bl	2	1.05
超长	b	2	1.05
麻辣	z	2	1.05
健	ag	9	1.04
须	d	70	10.25
大半	m	20	6.71
李先兰	nr	10	1.02
虞	nr1	26	1.01
2018年	t	3227	2628.25
猫爪杯	n_new	82	72.36
2017年	t	1249	687.64
联合办公	n_new	58	45.46
巾帼改装组	n_new	25	38.7
卓灯球	n_new	33	36.69
优客工场	n_new	11	35.76
区块链技术	n_new	9	33.11
污染防治攻坚战	n_new	24	48.31
死亡赔偿金	n_new	26	32.04
亚诺财富	n_new	12	31.97
航空公司	n_new	125	186.85
2019年	t	1694	1863.95
地下水超采	n_new	27	56.77
西湖女子巡逻队	n_new	11	30.6
网络游戏	n_new	25	28.39
白鹤滩水电站	n_new	13	52.71
服务业扩大开放	n_new	21	26.45
审音	n_new	38	26.31
油旋	n_new	16	25.71
占用应急车道	n_new	14	24.73
精准扶贫	n_new	6	24.67
大额存单	n_new	21	24.65
琚寨	n_new	22	24.61
清洁能源汽车	n_new	7	24.4
婚姻家庭纠纷	n_new	7	24.4
出租车乱象	n_new	7	24.24
航空公司接收	n_new	5	24.23
欠薪	n_new	27	57.02
梦想加	n_new	10	23.91
青山电器	n_new	13	23.86
槟榔致癌	n_new	20	49.35
附带民事诉讼	n_new	10	23.59
世界技能大赛	n_new	9	21.9
生态补偿	n_new	15	21.77
征求意见稿	n_new	15	52.05
黑恶势力	n_new	73	191.5
宋女士	n_new	44	56.13
烙铁烫发	n_new	9	20.51
妈妈集市	n_new	10	20.43
日光温室	n_new	10	20.29
阳光家园	n_new	9	20.28
审音表	n_new	16	19.8
毒贩	n	54	53.06
高级轿车	n_new	11	19.36
戈壁挑战赛	n_new	8	18.82
自动驾驶	n_new	8	18.7
技工院校	n_new	8	18.7
邵女士	n_new	19	18.65
岸桥	n_new	10	18.52
种粮大户	n_new	8	18.45
签订劳动合同	n_new	5	17.99
萌宠经济	n_new	10	17.89
横向生态补偿	n_new	3	17.71
刑事附带民事	n_new	8	17.54
微轻型无人机	n_new	4	17.45
大气扩散条件	n_new	6	17.33
慢火车	n_new	8	17.32
解除劳动合同	n_new	5	17.29
电气设备	n_new	6	17.21
语委	n_new	6	17.21
服刑人员	n_new	41	75.11
消防员	n_new	70	101.63
防灾减灾	n_new	6	16.78
协同发展	n_new	16	27.09
电子驾照	n_new	6	16.35
wework	n	19	16.09
2月	t	701	64.42
猫咪	n_new	18	35.18
网游	n_new	12	25.6
限量版	n_new	7	15.06
小镇青年	n_new	6	14.98
开心果	n_new	5	14.95
彩虹中心	n_new	8	14.95
监察对象	n_new	6	14.91
盈利模式	n_new	10	30.43
毛大庆	n_new	8	14.87
行业协会	n_new	18	25.06
长江流域	n_new	34	71.5
返利	n_new	5	14.72
技师学院	n_new	12	24.99
刑拘	n_new	26	54.09
公职人员	n_new	41	93.19
牛肉面	nms	25	23.2
审讯室	n_new	7	14.44
未成年人保护法	n_new	25	22.19
1000	m	335	258.73
多元化生态补偿	n_new	5	13.93
2018	m	187	186.99
街区更新单元	n_new	2	13.79
异读词	n_new	14	13.65
包头青山电器	n_new	3	13.55
饮用水源	n_new	10	21.19
智能路网	n_new	8	13.18
市政公司	n_new	4	13.13
追梦	n_new	7	13.1
杨茸茸	n_new	7	12.93
龙头企业	n_new	11	36.66
轨道交通	n_new	63	120.69
吴先生	n_new	13	29.77
文化内涵	n_new	8	21.67
上级纪委	n_new	5	12.88
温室大棚	n_new	5	12.88
盲人兄弟	n_new	3	12.86
夷洲	n_new	3	12.86
网络作家	n_new	6	12.8
乐刻	n_new	6	12.77
灵活办公	n_new	8	12.68
一线城市	n_new	6	12.68
南岗区民政局	n_new	6	12.68
走向世界	n_new	10	20.22
研究所所长	n_new	13	31.03
水资源保护	n_new	4	12.63
长江中下游	n_new	8	23.32
白发民警	n_new	4	12.63
烙铁烫头	n_new	4	12.63
城市实习	n_new	7	12.6
共生院	n_new	3	12.58
湘雅	n_new	13	20.22
男同事	n_new	7	12.53
西门子	nz	13	14.1
技术工人	n_new	5	12.48
科学流言	n_new	5	12.48
洗牌	n_new	5	12.48
市委书记	n_new	11	27.06
温室	n	34	30.27
绿水青山	n_new	8	11.88
提前支取	n_new	5	11.35
校企	n_new	7	19.11
缉毒侦查员	n_new	12	22.48
高铁开通	n_new	4	11.19
赵占领	n_new	3	10.89
判赔	n_new	3	10.89
开展为期	n_new	25	60.46
调解员	n_new	7	10.86
3000	m	219	217.91
饥饿营销	n_new	6	10.75
继电器	n	10	10.74
异读	n	23	10.72
旗舰店	n_new	9	10.7
3	m	1779	293.19
治理效能	n_new	6	10.7
广泛关注	n_new	22	35.68
职务犯罪	n_new	4	10.69
贸易逆差	n_new	4	10.69
一些租房	n_new	4	10.69
见义勇为行为	n_new	4	10.69
宁夏妇联	n_new	4	10.69
攀爬	n_new	12	29.39
湖南省肿瘤	n_new	4	10.69
万象城	n_new	4	10.69
柳州供电局	n_new	4	10.69
南京大屠杀幸存者	n_new	4	10.69
方糖小镇	n_new	4	10.69
管教女警	n_new	4	10.69
卫温	nr2	9	10.61
郑东	n_new	5	10.49
累计结存	n_new	5	10.49
北疆	n_new	5	10.49
热点问题	n_new	9	18.71
科创	n_new	8	10.41
8	m	950	193.7
国有企业	n_new	52	115.66
外商独资	n_new	3	10.36
美好生活	n_new	9	26.38
服务业对外开放	n_new	3	10.36
资本寒冬	n_new	3	10.36
规划纲要	n_new	3	10.36
联组讨论	n_new	3	10.36
信息化建设	n_new	3	10.36
责任追究	n_new	3	10.36
头部企业	n_new	3	10.36
世赛	n_new	3	10.36
浓厚兴趣	n_new	3	10.36
集中用餐	n_new	18	37.18
吸毒人员	n_new	18	52.2
可能适得其反	n_new	3	10.36
边坡	n_new	3	10.36
边境口岸	n_new	3	10.36
出租率	n_new	3	10.36
舞龙	n_new	3	10.36
藏羚羊	n_new	6	18.62
碎布	n_new	3	10.36
杭黄	n_new	5	18.12
清洁取暖	n_new	3	10.36
体测	n_new	15	37.06
食材	n_new	149	228.88
北龙湖	n_new	3	10.36
故意杀人案	n_new	3	10.36
mR 视频	n_new	3	10.36
巡查人员	n_new	6	10.24
重症儿童	n_new	11	18.09
草厂	n_new	4	10.2
软件工程	n_new	4	10.2
区委书记	n_new	11	30.41
城乡环境	n_new	4	10.19
微笑执法	n_new	2	10.19
制氢	n_new	4	10.19
养火鸡	n_new	2	10.19
讨薪	n_new	4	10.19
樱花杯	n_new	4	10.19
生态优先	n_new	6	10.13
蔡老师	n_new	3	10.09
翻墙	n_new	11	30.48
合署办公	n_new	5	10.09
pETM	n	9	10.05
普雄	nr2	9	10.05
属于正当防卫	n_new	8	10.04
3月	t	6783	244
7	m	835	173.73
国音	n	8	9.61
鱼苗	n	15	17.41
网络传销	n_new	5	9.55
人身损害	n_new	5	9.51
试制	v	10	11.1
未成年人能否	n_new	6	9.35
售楼	n_new	18	9.33
流言	n	12	10.91
100	m	542	190.91
1	m	1469	462.04
煤改	n_new	4	9.25
环保督察	n_new	6	17.01
飞区域	n_new	8	9.21
潜鸟	n_new	9	9.2
综合包户	n_new	2	9.2
限龄	n_new	2	9.2
流浪办公	n_new	2	9.2
文化礼堂	n_new	5	9.11
放流活动	n_new	6	8.99
蟠蛇	n_new	8	8.95
忠实义务	n_new	5	8.8
整个班子	n_new	3	8.79
文艺作品	n_new	3	8.79
法律效力	n_new	3	8.79
保乡土	n_new	3	8.79
时间紧	n_new	4	8.75
天下妈祖	n_new	2	8.75
铁棒	n	7	8.68
远航台湾	n_new	10	8.65
随身携带	n_new	15	33.35
20	m	1122	182.01
市政基础	n_new	4	8.57
封面新闻	n_new	4	8.57
购物公园	n_new	4	8.57
鹅沟	n_new	5	8.4
侵华日军	n_new	9	16.58
市场规律	n_new	6	18.62
海洋环境	n_new	3	8.26
努力拼搏	n_new	3	8.26
一级文物	n_new	6	8.26
明显好转	n_new	6	16.52
地质灾害	n_new	15	35.96
水电工程	n_new	3	8.26
努力奔跑	n_new	3	8.26
货物贸易	n_new	3	8.26
开办农家	n_new	3	8.26
跳河	n_new	8	18.9
冷静下来	n_new	3	8.26
黄铺	n_new	3	8.26
高压试验	n_new	3	8.26
国际法教授	n_new	3	8.26
指挥员立即	n_new	3	8.26
南疆西部	n_new	3	8.26
患重病	n_new	6	16.52
警方破获	n_new	3	8.26
约见客户	n_new	3	8.26
混营	n_new	3	8.26
卫衣	n_new	3	8.26
文脉	n_new	7	18.45
候客	n_new	3	8.26
兰州客运段	n_new	3	8.26
昭化	n_new	3	8.26
甘肃省委	n_new	2	8.26
超级工程	n_new	2	8.26
稳预期	n_new	2	8.26
柔性管理	n_new	2	8.26
平安家庭	n_new	2	8.26
文化创意	n_new	10	25.17
三峡水电站	n_new	2	8.26
贴心服务	n_new	2	8.26
抢购大战	n_new	4	8.26
前科人员	n_new	2	8.26
科技奖	n_new	5	8.25
解救出来	n_new	8	16.51
空间狭小	n_new	6	8.21
二房东	n	7	8.21
200	m	422	154.95
科学素养	n_new	3	8.12
中国大陆	n_new	4	8.07
语言文字	n_new	11	18.88
检测任务	n_new	4	8.07
到达现场	n_new	4	8.07
无法登陆	n_new	4	8.07
女子监狱	n_new	4	8.07
口头约定	n_new	4	8.07
接触网	n	18	21.84
黄某	nr	55	12.39
女性毕业生	n_new	5	8
违法解除	n_new	5	7.85
粮食生产	n_new	2	7.76
音乐老师	n_new	2	7.76
海外市场	n_new	2	7.76
迎接学生	n_new	2	7.76
林业部门	n_new	5	18.12
领先地位	n_new	5	15.35
牧民群众	n_new	2	7.76
打击破坏	n_new	2	7.76
继续向前	n_new	2	7.76
宝贵经验	n_new	2	7.76
小学校长	n_new	2	7.76
纪律检查	n_new	2	7.76
先进制造业	n_new	5	16.02
涉税	n_new	8	20.44
双一流	n_new	7	17.46
航天领域	n_new	2	7.76
有机统一	n_new	2	7.76
北京大学教授	n_new	2	7.76
不良风气	n_new	2	7.76
认识误区	n_new	2	7.76
客户经理	n_new	2	7.76
处于领先	n_new	2	7.76
重新做人	n_new	2	7.76
影视作品	n_new	11	19.9
银行流水	n_new	2	7.76
设施齐全	n_new	2	7.76
大师作品	n_new	2	7.76
右岸	n_new	2	7.76
实行免票	n_new	2	7.76
注重灾	n_new	2	7.76
地理位置	n_new	8	31.04
网络小说	n_new	2	7.76
建筑拆除	n_new	2	7.76
阶段性成果	n_new	2	7.76
履行党章	n_new	2	7.76
提出炉子	n_new	2	7.76
绘画作品	n_new	2	7.76
足铜	n_new	4	7.76
业务流程	n_new	2	7.76
台湾海峡	n_new	10	23.4
附近海域	n_new	2	7.76
一众	n_new	6	15.52
一个侧面	n_new	2	7.76
正式采集	n_new	2	7.76
物业面积	n_new	2	7.76
云计算	n_new	5	15.35
社会风尚	n_new	2	7.76
